   0.1 [sweep] 902-928 MHz, 200kHz steps, reporting anything > -95 dBm
   0.1 [sweep] station should read around -40 dBm at 30cm
  52.6 [DETECT] 912.201 MHz  rssi=-94.5 dBm
  54.6 [DETECT] 925.001 MHz  rssi=-79.0 dBm
  54.6 [DETECT] 925.201 MHz  rssi=-83.5 dBm
  54.8 [DETECT] 927.802 MHz  rssi=-93.0 dBm
  54.8 [sweep] pass 14 strongest=-73.5dBm @ 906.800MHz  detections=281
  54.8 [DETECT] 902.000 MHz  rssi=-87.0 dBm
  54.8 [DETECT] 902.200 MHz  rssi=-88.0 dBm
  54.8 [DETECT] 902.400 MHz  rssi=-91.0 dBm
  54.8 [DETECT] 902.600 MHz  rssi=-93.5 dBm
  54.9 [DETECT] 902.800 MHz  rssi=-94.0 dBm
  54.9 [DETECT] 903.000 MHz  rssi=-91.0 dBm
  54.9 [DETECT] 903.200 MHz  rssi=-88.0 dBm
  54.9 [DETECT] 903.400 MHz  rssi=-87.0 dBm
  54.9 [DETECT] 903.600 MHz  rssi=-88.0 dBm
  54.9 [DETECT] 903.800 MHz  rssi=-91.5 dBm
  55.5 [DETECT] 904.000 MHz  rssi=-89.5 dBm
  55.5 [DETECT] 904.200 MHz  rssi=-92.5 dBm
  55.5 [DETECT] 904.400 MHz  rssi=-93.0 dBm
  55.5 [DETECT] 904.600 MHz  rssi=-94.0 dBm
  56.5 [DETECT] 912.001 MHz  rssi=-94.0 dBm
  57.0 [DETECT] 916.201 MHz  rssi=-94.0 dBm
  57.0 [DETECT] 916.401 MHz  rssi=-94.0 dBm
  57.5 [DETECT] 917.401 MHz  rssi=-56.5 dBm
  58.7 [DETECT] 927.802 MHz  rssi=-92.5 dBm
  58.7 [sweep] pass 15 strongest=-56.5dBm @ 917.401MHz  detections=300
  58.7 [DETECT] 902.000 MHz  rssi=-94.0 dBm
  58.7 [DETECT] 902.200 MHz  rssi=-94.5 dBm
  58.7 [DETECT] 902.600 MHz  rssi=-94.0 dBm
